Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
16,83,Low,Medium,No,6,42,Medium,Yes,0,High,Low,Public,Positive,4,Yes,High School,Near,Female,47
31,70,Medium,High,Yes,7,49,Medium,Yes,1,High,Medium,Public,Negative,3,No,College,Near,Male,51
20,69,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,50
14,60,High,Medium,No,5,37,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,College,,Female,45
25,65,High,Medium,No,5,67,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,51
13,72,Low,Medium,No,6,69,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,45
21,65,Medium,Low,Yes,7,68,Low,Yes,2,Medium,High,Public,Positive,3,No,High School,Far,Female,48
8,99,Medium,Medium,No,9,40,Low,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,50
12,72,Low,Medium,Yes,8,63,Medium,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Female,47
21,65,Low,Medium,Yes,6,73,Low,Yes,1,Medium,High,Public,Negative,4,No,High School,Near,Male,48
24,68,High,Medium,No,8,42,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,50
21,84,Medium,Medium,Yes,6,39,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,College,Far,Female,48
19,63,Low,High,No,7,70,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,48
18,94,Medium,High,Yes,7,61,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,52
11,98,Medium,Medium,Yes,9,61,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,51
16,70,Medium,Medium,Yes,8,73,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,48
17,78,Medium,Medium,Yes,6,66,Medium,Yes,1,Medium,High,Private,Positive,3,No,College,Near,Female,51
26,61,Medium,Low,Yes,6,52,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,48
22,86,Low,Medium,Yes,7,54,Low,Yes,3,Low,High,Public,Positive,2,No,High School,Moderate,Male,51
9,77,Medium,Medium,No,5,42,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Near,Male,47
22,71,Low,Medium,Yes,7,48,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,48
18,68,High,Medium,No,7,54,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,48
16,86,Low,Medium,Yes,8,47,Medium,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,50
24,77,High,Low,No,8,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,50
26,67,Medium,High,Yes,7,38,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,49
26,88,Medium,High,Yes,5,59,Medium,Yes,1,Low,High,Private,Positive,4,No,College,Moderate,Male,54
15,83,Medium,High,No,5,66,Low,No,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,48
18,94,Medium,Medium,Yes,6,65,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,53
22,65,High,Low,No,8,61,Medium,Yes,2,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,49
26,91,Medium,Low,Yes,8,53,Medium,Yes,0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,51
17,87,Medium,Medium,No,7,72,Medium,Yes,1,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,52
19,65,Medium,Medium,Yes,10,49,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,46
13,88,Low,High,Yes,9,66,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,51
13,78,Medium,High,Yes,9,72,High,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,50
25,98,Low,High,Yes,8,42,Medium,No,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,53
28,66,Medium,High,Yes,8,72,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,51
20,86,Medium,Medium,Yes,8,66,Medium,Yes,1,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,51
26,75,Low,High,Yes,4,60,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,52
22,98,Medium,High,No,5,51,Low,No,1,Low,High,Public,Negative,4,No,High School,Moderate,Female,51
16,73,Medium,Medium,No,7,71,Medium,Yes,1,Low,Medium,Public,Negative,4,No,College,Near,Male,48
22,98,Medium,Low,Yes,7,39,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,52
29,96,Medium,Low,Yes,7,54,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,53
20,71,Medium,Medium,Yes,7,66,Medium,Yes,1,Low,Low,Public,Neutral,4,No,College,Near,Female,48
29,92,Low,Medium,No,4,68,Medium,Yes,2,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,54
4,100,High,High,Yes,8,45,High,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Male,51
25,70,Medium,Medium,No,7,39,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,49
21,77,Low,Medium,Yes,7,67,Medium,Yes,4,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,51
18,81,High,Low,Yes,8,53,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,48
21,72,Medium,Medium,Yes,5,42,Medium,Yes,1,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,48
8,61,Medium,Medium,Yes,7,40,Medium,Yes,1,High,Medium,Public,Positive,3,No,College,Near,Male,45
19,69,Medium,High,Yes,7,61,High,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,48
22,71,High,Medium,No,6,59,High,Yes,1,Low,Low,Public,Positive,3,No,High School,Near,Male,49
29,78,High,High,Yes,4,69,Low,Yes,5,Medium,High,Public,Neutral,3,No,College,Near,Male,55
17,67,Medium,Medium,Yes,5,39,High,Yes,2,Medium,Medium,Private,Negative,3,No,High School,Far,Female,46
15,95,Medium,Medium,No,7,69,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Moderate,Male,52
17,88,Medium,High,Yes,7,70,Low,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,51
25,63,Medium,High,Yes,7,54,Medium,Yes,3,Medium,High,Private,Negative,4,No,College,Far,Male,50
22,86,Low,Low,No,6,40,Medium,Yes,2,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,48
17,86,Medium,High,No,5,72,High,Yes,3,High,Medium,Public,Neutral,3,No,College,Near,Male,53
23,98,Medium,Low,Yes,7,40,Low,Yes,0,Medium,Medium,Public,Negative,3,No,College,Near,Female,51
21,60,High,Medium,No,7,60,Medium,Yes,0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,48
26,70,Medium,Low,Yes,8,56,Medium,Yes,1,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,47
16,97,Medium,Medium,Yes,6,69,Low,Yes,0,High,Medium,Private,Positive,4,No,College,Near,Male,53
18,97,High,Medium,Yes,4,56,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,51
18,89,High,Medium,Yes,4,54,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,75
11,91,Medium,Medium,No,6,70,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,51
22,64,Low,Medium,No,7,73,Low,No,1,Medium,Medium,Public,Negative,3,No,High School,Near,Male,46
22,81,Medium,Medium,Yes,7,57,Low,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,51
20,69,High,High,Yes,6,54,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Far,Male,49
19,67,Low,Medium,No,5,69,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Male,48
12,92,Medium,Medium,No,4,69,High,Yes,2,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,50
17,65,Medium,High,Yes,8,49,Medium,Yes,1,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,48
18,79,Medium,Medium,Yes,7,59,Medium,Yes,0,Low,High,Private,Neutral,3,No,College,Far,Male,48
15,98,High,Medium,No,6,43,High,Yes,0,Low,High,Public,Positive,3,No,College,Near,Male,51
19,67,Medium,Medium,No,5,61,High,Yes,1,Low,Low,Private,Negative,3,No,High School,Near,Male,47
22,99,Medium,Low,Yes,6,69,Low,Yes,3,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,54
31,100,Medium,Medium,No,7,44,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,57
21,82,Medium,High,Yes,7,49,High,Yes,3,Low,Medium,Public,Positive,3,Yes,College,Near,Female,51
22,67,Medium,Medium,Yes,7,54,High,Yes,3,Low,High,Public,Positive,2,No,Postgraduate,Moderate,Female,50
20,73,High,Medium,Yes,9,69,Medium,Yes,2,Medium,High,Public,Positive,3,No,College,Near,Male,51
8,77,High,Medium,Yes,6,65,Medium,Yes,0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,47
20,72,Medium,Medium,No,9,49,Medium,Yes,3,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,50
20,71,Low,High,Yes,7,46,High,Yes,2,Medium,Medium,Public,Negative,5,No,College,Near,Male,49
35,99,High,High,Yes,7,63,Low,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,59
19,66,Medium,Medium,No,8,55,Medium,Yes,1,High,Medium,Public,Neutral,3,No,High School,Near,Female,48
22,89,High,High,Yes,6,60,Medium,Yes,1,High,High,Public,Positive,3,No,High School,Near,Female,54
20,60,Low,High,No,7,61,High,Yes,2,Low,High,Public,Positive,4,Yes,High School,Near,Male,47
13,84,Medium,Medium,No,5,58,Medium,Yes,1,Low,High,Public,Positive,2,No,High School,Near,Male,48
27,97,Low,High,Yes,8,60,Medium,Yes,0,High,Medium,Public,Positive,5,No,High School,Near,Female,54
25,72,High,High,Yes,8,70,Low,Yes,2,Low,Medium,Private,Positive,4,No,College,Moderate,Female,52
25,67,High,Medium,No,9,69,High,Yes,2,Low,High,Public,Positive,3,Yes,High School,Near,Female,51
15,86,Medium,Medium,Yes,7,42,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,College,Near,Male,48
28,89,Low,High,Yes,9,59,High,Yes,0,Low,Medium,Private,Positive,1,No,College,Moderate,Female,53
12,88,Low,Medium,No,6,54,Low,Yes,2,Medium,Medium,Public,Positive,2,No,College,Far,Male,48
24,73,Medium,High,Yes,8,48,Medium,Yes,4,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,51
33,70,Medium,Medium,Yes,6,61,Low,Yes,1,Low,High,Public,Neutral,4,No,College,Near,Male,51
14,98,Medium,Medium,No,7,57,Medium,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Female,51
17,97,Medium,Medium,No,8,66,Medium,Yes,1,Low,,Public,Neutral,4,No,High School,Far,Male,51
21,78,Medium,Medium,Yes,10,41,Medium,Yes,1,High,Low,Private,Positive,2,No,College,Near,Male,50
17,94,Low,Medium,Yes,8,48,Low,Yes,4,Medium,Medium,Public,Neutral,6,No,High School,Far,Female,51
11,78,Medium,High,Yes,8,38,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,48
20,77,Medium,Medium,No,6,65,Low,Yes,0,Low,High,Public,Positive,4,No,High School,Near,Female,49
14,66,High,Low,No,7,72,Medium,Yes,3,Low,High,Public,Negative,3,No,High School,Near,Male,47
23,77,Medium,Medium,Yes,7,59,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,Moderate,Male,49
14,81,Medium,Medium,No,9,60,Medium,Yes,1,Low,High,Private,Negative,3,No,Postgraduate,Near,Female,49
29,61,Medium,High,Yes,7,39,Low,Yes,3,Low,Medium,Private,Positive,3,No,College,Near,Female,50
15,78,High,High,No,9,56,Low,Yes,1,Low,Medium,Public,Negative,1,No,High School,Near,Male,48
18,91,Low,Medium,Yes,5,57,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,51
25,87,Medium,Low,No,9,39,High,Yes,1,Low,High,Private,Positive,2,No,High School,Near,Male,51
13,85,High,Medium,No,6,66,Medium,Yes,0,High,Medium,Private,Neutral,1,Yes,High School,Near,Male,48
21,96,Medium,Medium,No,8,48,High,Yes,2,Medium,High,Public,Neutral,0,No,College,Near,Male,53
28,61,Medium,High,No,6,64,High,Yes,1,Low,Medium,Private,Negative,3,Yes,Postgraduate,Far,Male,48
10,82,Medium,Low,No,8,52,Medium,Yes,3,Low,High,Public,Positive,1,Yes,Postgraduate,Near,Female,48
21,91,High,Medium,No,6,75,Medium,Yes,0,High,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,54
22,82,Medium,Medium,No,9,45,Medium,Yes,2,Low,Medium,Public,Negative,2,Yes,High School,Near,Female,48
25,73,Medium,High,No,8,39,High,No,0,Low,High,Private,Negative,5,No,Postgraduate,Near,Female,49
13,65,Low,High,No,6,74,Medium,Yes,0,Low,Medium,Private,Negative,4,No,High School,Near,Male,45
12,96,Low,High,Yes,8,46,Medium,Yes,2,Medium,High,Public,Negative,3,No,College,Near,Female,51
23,79,High,High,Yes,8,61,Low,Yes,3,Medium,Medium,Public,Negative,3,Yes,Postgraduate,Moderate,Female,51
22,95,Medium,High,Yes,6,51,Medium,Yes,1,Low,Medium,Public,Positive,3,No,College,Near,Female,54
22,83,Medium,High,Yes,5,61,Medium,Yes,2,Low,High,Public,Positive,3,No,Postgraduate,Near,Female,53
22,87,High,High,No,5,60,Low,Yes,2,Low,High,Public,Negative,3,No,High School,Near,Female,52
16,92,Medium,High,Yes,5,63,Low,Yes,1,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,51
21,86,Low,Medium,Yes,5,38,Medium,Yes,2,Low,High,Public,Positive,2,No,High School,Moderate,Female,50
22,76,Medium,Medium,Yes,8,69,Medium,Yes,1,Low,High,Public,Neutral,4,No,High School,Near,Female,51
16,81,Medium,Medium,Yes,8,55,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,51
31,92,Medium,Medium,Yes,4,57,Medium,Yes,2,Medium,High,Public,Positive,4,Yes,High School,Far,Male,54
23,75,Low,High,No,6,53,Low,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Male,48
13,76,Medium,High,No,5,74,Low,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,49
24,64,Medium,Medium,Yes,8,67,High,Yes,0,Low,High,Public,Negative,3,No,High School,Near,Male,48
14,97,Medium,Medium,Yes,6,49,Medium,Yes,2,Medium,Medium,Public,Negative,3,Yes,College,Near,Female,50
25,64,Medium,High,No,5,66,Low,Yes,2,Medium,Medium,Public,Neutral,4,No,College,Far,Male,49
27,86,Medium,Medium,No,7,54,Low,Yes,1,Medium,High,Public,Positive,4,No,High School,Far,Male,51
15,77,Medium,Medium,Yes,8,70,Low,Yes,0,High,High,Public,Positive,3,No,College,Moderate,Male,49
26,76,Medium,High,Yes,6,39,Medium,Yes,4,High,Low,Public,Neutral,3,No,High School,Near,Male,51
22,87,High,Low,Yes,7,51,Medium,No,0,Low,Medium,Public,Neutral,2,No,High School,Near,Male,50
25,63,High,Medium,Yes,6,53,Medium,Yes,1,Medium,Low,Private,Positive,3,No,High School,Near,Male,49
31,84,Medium,Medium,Yes,9,65,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,College,Far,Male,53
19,91,High,Low,No,6,44,Medium,Yes,5,Medium,High,Public,Neutral,4,No,College,Moderate,Male,52
15,93,High,Medium,No,6,48,Medium,Yes,2,Medium,High,Public,Positive,4,No,Postgraduate,Near,Male,53
15,67,Medium,Medium,Yes,7,64,High,Yes,1,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,49
15,96,Medium,Medium,No,7,40,High,No,3,Medium,High,Public,Negative,2,No,High School,Near,Male,50
20,86,High,Low,No,8,45,Medium,Yes,1,Medium,Medium,Public,Neutral,4,Yes,College,Far,Female,49
22,95,Medium,High,No,9,66,Low,Yes,0,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,54
22,79,Medium,Medium,No,9,70,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Male,51
25,82,Medium,Medium,No,6,64,Medium,No,3,Low,High,Public,Positive,3,No,High School,Near,Female,51
20,97,Medium,Medium,Yes,7,57,Low,Yes,2,Low,Low,Private,Positive,3,No,Postgraduate,Near,Male,53
29,96,Medium,Medium,Yes,9,41,Low,No,0,Medium,Medium,Public,Neutral,2,No,Postgraduate,Far,Female,52
18,78,Medium,Medium,No,9,68,High,Yes,2,High,Low,Public,Neutral,4,No,College,Far,Female,50
36,71,Medium,Medium,Yes,6,42,Medium,Yes,2,High,Medium,Public,Positive,2,No,High School,Far,Male,51
24,76,Low,High,No,8,51,Low,Yes,2,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,48
15,76,High,High,No,8,39,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,College,Near,Male,48
14,71,Medium,Medium,Yes,8,63,Low,Yes,2,Medium,High,Public,Neutral,4,No,High School,Near,Male,48
23,71,Low,Low,Yes,9,56,Low,Yes,1,Low,Medium,Public,Negative,2,No,College,Near,Male,47
19,94,Low,Medium,Yes,5,71,Medium,Yes,3,Low,Low,Public,Positive,2,No,High School,Moderate,Male,51
24,63,Medium,Low,Yes,6,42,Medium,Yes,1,Low,High,Private,Neutral,5,No,College,Near,Female,48
23,87,High,High,Yes,8,68,High,Yes,0,High,Medium,Private,Positive,3,No,High School,Moderate,Male,54
20,67,Low,Medium,Yes,7,57,Medium,Yes,0,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,47
15,74,Low,High,Yes,4,51,Low,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Female,48
11,62,Medium,High,Yes,5,61,Medium,Yes,3,High,Medium,Private,Neutral,4,No,College,Moderate,Male,48
17,71,Medium,Medium,Yes,8,67,Medium,Yes,5,Medium,Medium,Public,Positive,1,No,Postgraduate,Far,Male,50
25,91,Medium,Medium,No,8,54,Low,Yes,2,Medium,High,Public,Positive,0,No,Postgraduate,Near,Male,53
21,95,Medium,Medium,No,5,46,High,Yes,1,Medium,Low,Public,Positive,4,No,High School,Near,Male,52
13,69,Medium,Low,Yes,9,72,Low,Yes,0,High,Medium,Private,Neutral,4,No,High School,Far,Female,45
21,79,Medium,High,Yes,7,49,Low,Yes,2,Low,Medium,Public,Negative,4,No,College,Moderate,Male,50
22,79,High,Medium,No,5,75,Medium,Yes,4,High,High,Public,Negative,3,No,College,Near,Male,54
15,95,Low,Low,Yes,6,66,Low,Yes,1,Low,Medium,Public,Negative,5,No,High School,Near,Male,49
21,91,Medium,High,Yes,5,63,Medium,Yes,1,High,Low,Public,Neutral,2,No,High School,Near,Male,52
20,81,High,Medium,Yes,6,38,High,No,3,Medium,Medium,Public,Neutral,4,Yes,High School,Near,Male,50
13,87,High,Low,Yes,4,54,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Moderate,Female,50
22,94,Low,Medium,Yes,7,56,High,Yes,2,High,Medium,Public,Neutral,2,No,College,Near,Female,53
23,60,High,Medium,Yes,8,51,Medium,Yes,1,Low,Medium,Private,Positive,4,No,College,Near,Male,49
26,76,Medium,Medium,Yes,5,42,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,51
26,96,Medium,Medium,Yes,7,51,Medium,Yes,3,High,Medium,Private,Positive,3,No,College,Near,Female,55
12,90,Medium,Low,Yes,6,40,Medium,No,1,High,Medium,Public,Neutral,3,No,High School,Near,Male,48
14,82,Medium,Medium,No,8,48,Medium,Yes,1,Low,Medium,Private,Positive,3,No,College,Near,Male,48
23,81,Low,Medium,Yes,4,40,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,College,Near,Male,49
23,74,Medium,High,Yes,8,66,Low,Yes,0,Medium,High,Public,Negative,3,Yes,High School,Near,Male,49
23,81,Medium,Low,No,4,63,Medium,Yes,2,Medium,Medium,Public,Positive,5,No,High School,Near,Male,51
43,86,High,Medium,Yes,7,72,Medium,Yes,2,Medium,High,Public,Positive,1,No,High School,Near,Female,58
23,77,Medium,High,Yes,6,51,Low,Yes,1,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,50
27,89,Medium,High,Yes,6,66,Medium,Yes,3,Medium,Medium,Private,Positive,3,No,High School,Near,Male,55
26,94,Medium,High,No,5,59,High,Yes,1,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,55
24,66,Medium,Low,No,9,61,Low,Yes,1,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Female,46
18,78,High,Medium,Yes,5,57,Medium,No,2,Medium,Medium,Public,Neutral,4,No,High School,Far,Male,49
25,76,Medium,Medium,Yes,5,66,High,Yes,3,Medium,High,Public,Neutral,3,No,High School,Far,Female,51
15,87,Medium,High,Yes,10,39,Medium,Yes,2,Low,High,Private,Positive,3,No,College,Near,Male,51
19,70,Medium,Low,No,7,40,High,Yes,0,Medium,Medium,Public,Positive,2,Yes,High School,Moderate,Male,66
17,86,High,Low,No,5,41,Low,No,2,High,Medium,Private,Neutral,4,No,College,Near,Male,49
20,95,Low,Medium,Yes,7,48,Low,No,2,Medium,High,Public,Neutral,3,No,High School,Near,Female,51
34,77,Medium,Low,Yes,7,60,Low,Yes,0,Medium,Medium,Public,Positive,3,No,High School,Near,Male,51
9,96,Medium,Medium,Yes,4,61,High,No,0,Low,Medium,Public,Positive,4,No,College,Near,Male,50
24,100,High,High,Yes,6,64,Low,Yes,2,Medium,Medium,Private,Positive,5,No,High School,Near,Male,56
10,64,Medium,High,No,7,48,High,Yes,0,Medium,Medium,Public,Positive,4,Yes,High School,Moderate,Female,45
17,69,High,Medium,Yes,9,62,Medium,Yes,2,Medium,High,Private,Positive,4,Yes,College,Moderate,Female,49
27,98,Low,High,Yes,7,42,Low,Yes,1,High,Medium,Private,Positive,3,No,College,Near,Female,54
20,98,Medium,Low,No,7,37,Low,Yes,1,Medium,High,Private,Neutral,2,No,High School,Near,Female,51
14,64,Medium,Medium,Yes,6,63,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,46
16,61,Medium,Medium,No,9,64,Low,Yes,2,Low,High,Public,Positive,2,No,High School,Near,Male,46
24,66,High,Low,Yes,8,60,High,Yes,1,Medium,Medium,Public,Neutral,4,No,High School,Far,Male,48
16,100,High,Low,Yes,8,47,High,Yes,2,Low,Medium,Public,Negative,3,No,High School,Moderate,Male,51
21,67,Medium,Medium,No,7,72,Low,Yes,3,Low,Medium,Public,Neutral,2,No,High School,Far,Female,48
20,80,Medium,High,No,5,70,Medium,Yes,0,Low,Low,Private,Positive,4,Yes,Postgraduate,Moderate,Female,50
16,94,High,High,Yes,9,57,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,Near,Male,52
33,61,Medium,Medium,No,7,74,High,Yes,2,Medium,High,Public,Neutral,3,No,College,Near,Female,52
24,84,High,Low,No,7,48,Low,Yes,3,Medium,High,Public,Positive,3,No,High School,Near,Female,51
8,71,High,Low,No,8,56,Medium,Yes,0,Medium,High,Public,Positive,3,No,High School,Near,Male,45
21,94,Medium,Medium,No,7,72,Low,Yes,0,Medium,Medium,Private,Neutral,2,Yes,Postgraduate,Moderate,Male,51
16,71,High,Medium,Yes,5,54,Medium,Yes,1,Medium,Medium,Public,Neutral,0,Yes,High School,Near,Male,47
